datetime,account,return,total_turnover,turnover,total_cost,cost,value,cash,bench
2023-12-27,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0
2023-12-28,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,-0.019919693
2023-12-29,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,-0.011672199
2023-12-30,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0017431974
2023-12-31,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.003400445
2024-01-01,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0448395
2024-01-02,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.017369151
2024-01-03,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,-0.04675913
2024-01-04,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.030478835
2024-01-05,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,-0.00013571978
2024-01-06,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,-0.004004717
2024-01-07,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,-0.00089383125
2024-01-08,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0687933
2024-01-09,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,-0.017913103
2024-01-10,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.011797667
2024-01-11,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,-0.00674814
2024-01-12,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,-0.076747835
2024-01-13,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0015252829
2024-01-14,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,-0.026037097
2024-01-15,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.018660545
2024-01-16,1008730.5951658448,0.009030595165844774,300000.0,0.3,300.0,0.0003,309030.59516584483,699700.0,0.014745474
2024-01-17,1002033.0174976597,-0.00663325316666471,306412.25348969485,0.006356755233185541,306.4122534896949,6.356755233185568e-06,295927.17626145453,706105.8412362052,-0.008388162
2024-01-18,972001.9564537932,-0.029665458481750607,611704.4194360366,0.30467276089238726,611.7044194360367,0.0003046727608923873,571493.5733298763,400508.383123917,-0.033864737
2024-01-19,974193.3583069834,0.0025424580772317245,891576.7915168691,0.2879339596207253,891.5767915168692,0.0002879339596207253,294092.47547431465,680100.8828326687,0.00802207
2024-01-20,971847.1147731536,-0.0024065139356226543,893410.4325898889,0.001882214713726284,893.410432589889,1.8822147137262046e-06,289914.42450853804,681932.6902646155,0.0008883476
2024-01-21,970081.0645528367,-0.0018155235585164723,895049.3207598248,0.001686364187353121,895.0493207598248,1.6863641873530686e-06,289788.90134632704,680292.1632065097,-0.0027751327
2024-01-22,953160.0500609749,-0.01744161443666603,896283.9123805177,0.0012726685076179251,896.2839123805177,1.2726685076179261e-06,274103.7130667788,679056.336994196,-0.048395693
2024-01-23,952884.7619341717,-1.2438617582818477e-06,1170386.4398479608,0.2875724044979733,1170.386439847961,0.00028757240449797336,0.0,952884.7619341717,0.008329511
2024-01-24,952884.7619341717,0.0,1170386.4398479608,0.0,1170.386439847961,0.0,0.0,952884.7619341717,0.004693985
2024-01-25,952884.7619341717,0.0,1170386.4398479608,0.0,1170.386439847961,0.0,0.0,952884.7619341717,-0.0030881763
2024-01-26,952884.7619341717,0.0,1170386.4398479608,0.0,1170.386439847961,0.0,0.0,952884.7619341717,0.046605825
2024-01-27,952884.7619341717,0.0,1170386.4398479608,0.0,1170.386439847961,0.0,0.0,952884.7619341717,0.007104039
2024-01-28,957784.3406505149,0.005441837619900723,1456251.8684282124,0.30000000000000004,1456.2518684282124,0.00030000000000000003,291050.872725175,666733.4679253399,-0.002126515
