event_time,account,return,total_turnover,turnover,total_cost,cost,value,cash,bench
2024-01-14,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,-0.026037097
2024-01-15,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.018660545
2024-01-16,1007309.8073242188,0.007560986328125047,251179.00390625,0.25117900390625,251.17900390625002,0.00025117900390625,258739.990234375,748569.8170898438,0.014745474
2024-01-17,1001588.8112304688,-0.005679480187874917,251179.00390625,0.0,251.17900390625002,0.0,253018.994140625,748569.8170898438,-0.008388162
2024-01-18,973024.7418037415,-0.028223138192233405,547268.9994812012,0.29562031070534783,547.2689994812011,0.00029562031070534775,520841.0102844238,452183.73151931766,-0.033864737
2024-01-19,974840.9987510681,0.0021479288817283946,820999.9977111816,0.2813196689351933,820.9999977111815,0.0002813196689351932,249200.0,725640.9987510681,0.00802207
2024-01-20,972841.9997276306,-0.0020505898151581096,820999.9977111816,0.0,820.9999977111815,0.0,247201.0009765625,725640.9987510681,0.0008883476
2024-01-21,971346.0036338806,-0.0015377585406148567,820999.9977111816,0.0,820.9999977111815,0.0,245705.0048828125,725640.9987510681,-0.0027751327
2024-01-22,957060.9938682556,-0.01470640710126327,820999.9977111816,0.0,820.9999977111815,0.0,231419.9951171875,725640.9987510681,-0.048395693
2024-01-23,949901.0085166931,-0.007481221570448946,820999.9977111816,0.0,820.9999977111815,0.0,224260.009765625,725640.9987510681,0.008329511
2024-01-24,949143.0007041931,-0.0007979861119251345,820999.9977111816,0.0,820.9999977111815,0.0,223502.001953125,725640.9987510681,0.004693985
2024-01-25,947504.9880088806,-0.0017257807243979222,820999.9977111816,0.0,820.9999977111815,0.0,221863.9892578125,725640.9987510681,-0.0030881763
2024-01-26,952408.9919151306,0.005175702469446036,820999.9977111816,0.0,820.9999977111815,0.0,226767.9931640625,725640.9987510681,0.046605825
2024-01-27,952434.9928916931,2.7300221630852633e-05,820999.9977111816,0.0,820.9999977111815,0.0,226793.994140625,725640.9987510681,0.007104039
2024-01-28,957055.4090492248,0.005386215521151958,1330603.9817810059,0.5350538229623554,1330.6039817810058,0.0005350538229623554,287940.0100708008,669115.398978424,-0.002126515
2024-01-29,974155.3998939514,0.017867294498355474,1330603.9817810059,0.0,1330.6039817810058,0.0,305040.00091552734,669115.398978424,0.03025484
2024-01-30,973332.2362205505,-0.000834565690107029,1340770.9815979004,0.010436733007897233,1340.7709815979003,1.0436733007897234e-05,294060.0044250488,679272.2317955017,-0.0083504915
2024-01-31,960456.2291404724,-0.013228789308443812,1340770.9815979004,0.0,1340.7709815979003,0.0,281183.9973449707,679272.2317955017,-0.008409202
2024-02-01,962921.2247154235,0.002566484031403634,1340770.9815979004,0.0,1340.7709815979003,0.0,283648.9929199219,679272.2317955017,0.011811733
2024-02-02,970954.2371055603,0.008342335991722221,1340770.9815979004,0.0,1340.7709815979003,0.0,291682.0053100586,679272.2317955017,0.0027170181
2024-02-03,963356.2291404724,-0.007825299766689055,1340770.9815979004,0.0,1340.7709815979003,0.0,284083.9973449707,679272.2317955017,-0.0043728948
2024-02-04,956193.2256004333,-0.007435467092406774,1340770.9815979004,0.0,1340.7709815979003,0.0,276920.99380493164,679272.2317955017,-0.009955823
2024-02-05,956694.6944458007,0.0005344284314315617,1350318.9819335938,0.009985429806509846,1350.3189819335937,9.985429806509844e-06,286980.0109863281,669714.6834594726,0.0029547215
2024-02-06,960354.6752197265,0.0038256517938002727,1350318.9819335938,0.0,1350.3189819335937,0.0,290639.9917602539,669714.6834594726,0.009137511
2024-02-07,978144.4401245117,0.01877121896547431,1587581.9702148438,0.2470576698415769,1587.5819702148438,0.0002470576698415769,545930.0079345703,432214.43218994135,0.029018164
2024-02-08,982449.4434814453,0.004401193914045653,1587581.9702148438,0.0,1587.5819702148438,0.0,550235.0112915039,432214.43218994135,0.021173716
2024-02-09,1001263.1677940368,0.019160274798009292,1597858.9698791504,0.010460588819602434,1597.8589698791504,1.0460588819602481e-05,558782.0129394531,442481.15485458367,0.04071927
